match_id,friendly_picks,enemy_picks,bans,win_rate
1,"[15, 21, 24, 4, 5]","[22, 14, 3, 25, 13]","[1, 10, 6, 9, 16, 2]",0.6329
2,"[17, 14, 27, 28, 22]","[15, 29, 1, 9, 7]","[24, 18, 25, 23, 6, 16]",0.6633
3,"[17, 12, 9, 10, 13]","[26, 20, 28, 11, 22]","[16, 7, 15, 24, 27, 8]",0.6245
4,"[8, 3, 21, 30, 26]","[5, 4, 29, 17, 22]","[23, 28, 11, 15, 10, 6]",0.6674
5,"[23, 4, 1, 16, 5]","[8, 11, 12, 17, 26]","[27, 3, 13, 14, 20, 24]",0.5341
6,"[16, 14, 4, 2, 19]","[23, 28, 15, 20, 6]","[9, 3, 17, 22, 5, 21]",0.5826
7,"[15, 2, 29, 4, 18]","[13, 21, 28, 22, 27]","[11, 14, 16, 25, 12, 20]",0.6642
8,"[3, 14, 9, 22, 21]","[6, 11, 23, 24, 8]","[16, 1, 20, 5, 18, 27]",0.5595
9,"[24, 29, 6, 22, 30]","[27, 28, 17, 3, 20]","[15, 9, 11, 26, 8, 10]",0.5327
10,"[10, 20, 24, 11, 28]","[19, 1, 6, 2, 7]","[18, 25, 16, 13, 27, 4]",0.5966
11,"[14, 11, 18, 15, 24]","[23, 27, 22, 3, 5]","[29, 9, 25, 30, 21, 8]",0.6297
12,"[3, 29, 16, 9, 19]","[28, 13, 22, 6, 15]","[11, 4, 8, 14, 24, 17]",0.6704
13,"[27, 12, 18, 8, 11]","[16, 15, 7, 19, 10]","[4, 28, 22, 6, 23, 9]",0.5894
14,"[26, 7, 8, 17, 11]","[25, 5, 14, 6, 15]","[19, 30, 24, 29, 23, 9]",0.6372
15,"[30, 24, 29, 26, 12]","[2, 19, 7, 1, 9]","[17, 10, 16, 11, 21, 8]",0.5758
16,"[29, 9, 28, 26, 15]","[18, 7, 27, 3, 20]","[17, 25, 5, 13, 2, 12]",0.6903
17,"[14, 17, 6, 19, 3]","[15, 28, 30, 13, 25]","[22, 9, 8, 12, 27, 5]",0.637
18,"[23, 5, 13, 9, 25]","[18, 10, 30, 15, 21]","[3, 22, 28, 6, 24, 19]",0.594
19,"[4, 22, 5, 10, 12]","[27, 2, 20, 13, 9]","[28, 18, 19, 23, 26, 15]",0.6468
20,"[18, 25, 16, 2, 26]","[12, 7, 1, 6, 14]","[10, 28, 13, 4, 11, 30]",0.6411
21,"[5, 17, 16, 7, 28]","[21, 10, 29, 11, 4]","[2, 25, 9, 30, 3, 23]",0.6537
22,"[8, 29, 21, 13, 18]","[30, 3, 17, 5, 10]","[27, 7, 23, 6, 4, 20]",0.5529
23,"[17, 8, 10, 23, 27]","[19, 28, 15, 4, 30]","[12, 13, 25, 18, 20, 9]",0.5595
24,"[28, 29, 1, 14, 26]","[6, 18, 30, 10, 3]","[23, 11, 9, 4, 25, 5]",0.707
25,"[27, 20, 17, 1, 2]","[24, 29, 16, 22, 15]","[30, 14, 19, 5, 6, 25]",0.6401
26,"[26, 7, 4, 10, 16]","[19, 21, 9, 5, 12]","[24, 8, 1, 6, 3, 11]",0.6968
27,"[30, 12, 11, 27, 14]","[19, 24, 6, 13, 16]","[17, 22, 7, 8, 21, 5]",0.648
28,"[30, 4, 1, 18, 28]","[20, 27, 7, 24, 10]","[25, 29, 5, 12, 3, 26]",0.5196
29,"[23, 11, 13, 20, 17]","[25, 10, 15, 3, 5]","[30, 1, 24, 9, 29, 8]",0.6625
30,"[29, 24, 19, 28, 30]","[10, 26, 25, 16, 15]","[14, 8, 9, 12, 5, 7]",0.5875
